# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,6.20,6.14,6.24,7.26,6.63,6.80,6.99,7.04,7.00,6.80,6.62,6.35
Ground Temperatures,∆°C,depth 2.0 m,6.35,6.29,6.29,6.91,6.54,6.67,6.85,6.92,6.92,6.81,6.70,6.49
Ground Temperatures,∆°C,depth 4.0 m,6.47,6.42,6.38,6.68,6.51,6.59,6.73,6.80,6.83,6.78,6.71,6.58
N6 Dry Bulb Temperature,∆°C,-,7.8041,5.8405,4.7000,5.2445,4.4870,7.4356,7.7490,8.3511,9.5699,5.4943,4.7235,7.8272
N7 Dew Point Temperature,∆°C,-,2.9847,3.6296,3.3632,3.4673,3.4817,3.2164,3.2714,2.7644,3.3503,2.6967,2.3448,2.3522
N8 Relative Humidity,∆%,-,-8.0777,-3.1879,-0.5565,-2.8296,-0.6943,-13.7045,-13.3405,-18.0722,-18.9065,2.0380,-2.6232,-10.1226
N9 Atmospheric Station Pressure,∆Pa,-,-603.3047,-147.8594,-72.0625,157.9453,22.8984,27.4531,-15.6797,0.9297,7.9297,-75.6875,-49.1328,-118.1094
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,76.3876,57.9227,56.3642,46.4377,46.0006,35.0002,38.2093,44.7383,39.2869,48.8914,47.5168,72.0977
N13 Global Horizontal Radiation,∆Wh/m²,-,-15.4720,-12.3815,-30.1174,8.0451,-2.1048,67.8727,42.0152,27.9465,29.2711,1.5378,-7.8477,-11.7082
N14 Direct Normal Radiation,∆Wh/m²,-,-24.0177,-58.3970,-59.0609,38.2152,6.7819,131.2924,86.6287,59.9640,71.8010,-10.8194,-20.7712,-32.1515
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-9.0164,8.3823,-0.2064,-13.6261,-4.4784,-18.5530,-17.0901,-9.6642,-10.3441,4.1850,-1.8209,-3.0552
N16 Global Horizontal Illuminance,∆lux,-,-1571.8273,-1145.0758,-2945.4667,1086.7337,120.8232,8004.4691,5495.3240,3713.3629,3780.4837,297.4116,-769.9982,-1146.5569
N17 Direct Normal Illuminance,∆lux,-,-2060.4235,-5601.4768,-5902.9274,3195.5397,12.9816,13100.6493,9315.2333,6122.2665,7513.9129,-1406.0079,-1851.8045,-2734.5345
N18 Diffuse Horizontal Illuminance,∆lux,-,-1005.0616,1015.4986,154.5503,-713.4940,203.5051,-1715.6841,-1568.7686,-474.9863,-877.7667,790.8292,-208.2110,-408.7212
N19 Zenith Luminance,∆Cd/m²,-,-95.2231,196.3307,87.1847,-535.2142,-211.7869,-896.1128,-659.5229,-378.5539,-280.7134,86.4902,-14.7347,-31.9785
N21 Wind Speed,∆m/s,-,-0.2155,-0.3027,-0.0167,-0.1316,-0.2107,-0.0518,0.0111,-0.1179,-0.1906,0.1262,0.0605,-0.1893
N22 Total Sky Cover,∆deca,-,1.0000,1.0000,1.0000,0.0000,0.0000,-3.0000,-2.0000,-2.0000,-2.0000,0.0000,0.0000,1.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.9643,0.9919,0.0000,0.0000,-2.9819,-1.9933,-1.9731,-1.9722,0.0000,0.0000,0.9973
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,91.3850,-15.9783,398.2745,-298.8499,-103.4800,-569.3019,-805.9790,-756.2778,-830.1767,69.3337,271.9056,820.3189
