# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,4.84,4.84,4.83,5.58,4.60,4.43,4.38,4.36,4.44,4.51,4.68,4.75
Ground Temperatures,∆°C,depth 2.0 m,4.76,4.81,4.79,5.26,4.65,4.51,4.47,4.42,4.45,4.49,4.62,4.67
Ground Temperatures,∆°C,depth 4.0 m,4.69,4.75,4.74,4.98,4.67,4.57,4.53,4.49,4.49,4.51,4.58,4.63
N6 Dry Bulb Temperature,∆°C,-,5.5747,4.5464,3.9108,3.6138,4.2153,5.9968,4.6203,5.3957,5.6935,3.3398,3.3215,5.1196
N7 Dew Point Temperature,∆°C,-,2.7034,3.1550,2.7400,2.2392,3.5997,3.2798,1.1551,1.5148,2.7285,1.9667,2.0154,2.1095
N8 Relative Humidity,∆%,-,-6.1160,-2.1083,-2.8516,-4.3316,1.5695,-8.8189,-11.0902,-13.3340,-9.5946,-0.4857,-1.4510,-8.6954
N9 Atmospheric Station Pressure,∆Pa,-,-797.0859,-96.7266,-186.2344,63.1875,-48.1641,28.9844,38.2266,-1.7891,22.6328,11.3672,40.8438,-61.5547
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,64.6412,50.8494,51.9030,27.6197,36.8364,35.7822,16.8096,25.9888,26.6614,35.4005,39.8620,49.0966
N13 Global Horizontal Radiation,∆Wh/m²,-,-15.6856,-17.8090,-18.5106,16.4952,23.1393,52.1084,45.5094,35.2307,20.1791,-0.8029,-4.0419,-7.3124
N14 Direct Normal Radiation,∆Wh/m²,-,-24.1458,-77.1392,-35.5982,61.2165,65.4947,100.8646,94.8816,79.0737,42.3569,-17.7188,-13.9952,-25.5953
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-9.1953,9.9886,-0.3642,-18.0905,-15.4667,-14.6831,-18.7564,-13.5893,-4.7461,4.8114,-0.1414,-0.4413
N16 Global Horizontal Illuminance,∆lux,-,-1594.4791,-1707.1924,-1789.5541,1927.0039,2810.1062,6127.6450,5733.9826,4476.4284,2635.8942,23.4807,-386.8178,-694.6728
N17 Direct Normal Illuminance,∆lux,-,-2070.4612,-7187.9587,-3763.7280,5570.0846,6036.8321,10013.7222,10051.3788,8108.8422,4418.5753,-1985.8152,-1303.4152,-2232.7124
N18 Diffuse Horizontal Illuminance,∆lux,-,-1025.0114,1084.0655,257.5598,-1268.2819,-1065.4482,-1222.6753,-1812.8629,-1007.2207,-139.7846,813.1782,4.8307,-94.3243
N19 Zenith Luminance,∆Cd/m²,-,-97.6300,277.4262,-1.3685,-669.9890,-643.9817,-736.9095,-715.5270,-475.4964,-177.9953,101.1047,-1.7188,16.0156
N21 Wind Speed,∆m/s,-,-0.1308,-0.2548,-0.2409,-0.1909,-0.3455,-0.1469,0.1251,0.0210,-0.1685,0.0585,-0.0877,-0.1470
N22 Total Sky Cover,∆deca,-,1.0000,1.0000,1.0000,-1.0000,-1.0000,-2.0000,-2.0000,-2.0000,-1.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.9643,0.9919,-0.9444,-0.9987,-1.9958,-1.9933,-1.9731,-0.9819,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,194.5625,136.3097,-68.9651,-134.2764,-267.7278,-507.2886,-826.7527,-795.2736,-412.9960,-41.7069,-32.1579,253.3536
