# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,5.69,5.71,5.67,6.37,5.32,5.09,4.99,4.95,5.05,5.18,5.43,5.56
Ground Temperatures,∆°C,depth 2.0 m,5.57,5.64,5.62,6.06,5.39,5.21,5.12,5.05,5.08,5.15,5.33,5.44
Ground Temperatures,∆°C,depth 4.0 m,5.46,5.55,5.54,5.77,5.43,5.29,5.22,5.15,5.15,5.18,5.29,5.36
N6 Dry Bulb Temperature,∆°C,-,6.8685,5.7433,4.6743,4.5424,3.8303,4.8266,5.5035,6.3810,6.8773,3.9401,4.1199,6.8019
N7 Dew Point Temperature,∆°C,-,2.8749,3.5196,3.0429,2.9732,3.0222,3.6591,2.5217,2.3116,1.8531,2.1537,2.2064,2.3121
N8 Relative Humidity,∆%,-,-8.0032,-3.7095,-3.6580,-3.6590,-0.6833,-2.1872,-9.4889,-13.4565,-16.8244,-0.9236,-2.6237,-10.1735
N9 Atmospheric Station Pressure,∆Pa,-,-661.2891,-196.1172,-121.4141,116.7109,42.2813,-23.0625,-8.4766,-19.4688,34.8516,-31.1250,-23.0781,-183.4453
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,71.4176,48.5790,47.5178,42.0043,33.9440,38.1824,24.6613,33.1298,29.6668,38.9261,44.1153,66.5023
N13 Global Horizontal Radiation,∆Wh/m²,-,-13.6598,-7.1543,-16.4771,0.1828,24.7683,29.7398,43.4915,30.0651,24.1480,-4.3004,-5.9058,-9.7001
N14 Direct Normal Radiation,∆Wh/m²,-,-22.7819,-38.3154,-30.7574,16.8724,69.2646,56.6198,90.1281,65.5708,55.3724,-27.6023,-17.5827,-29.6884
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-7.5397,6.1247,-0.7395,-9.3862,-16.1399,-8.2506,-17.8032,-10.8405,-7.2879,5.5909,-0.8812,-1.7163
N16 Global Horizontal Illuminance,∆lux,-,-1379.4628,-640.7058,-1581.0653,279.7653,2951.6309,3587.3579,5599.4163,3926.1611,3052.0501,-334.2351,-578.1317,-938.1272
N17 Direct Normal Illuminance,∆lux,-,-1960.7948,-3782.6584,-3346.8376,1047.5243,6425.3829,5461.6679,9638.1934,6709.2525,5755.0847,-2918.0393,-1599.2410,-2546.9429
N18 Diffuse Horizontal Illuminance,∆lux,-,-840.7843,854.6592,261.8925,-247.7546,-1173.3204,-415.9385,-1675.3483,-630.7151,-486.7317,872.9357,-89.4301,-247.2082
N19 Zenith Luminance,∆Cd/m²,-,-68.3686,125.3212,-22.6341,-373.8605,-667.3094,-485.9479,-684.2259,-405.4886,-230.1486,133.0187,-6.1763,-9.6018
N21 Wind Speed,∆m/s,-,-0.1061,-0.1840,-0.0320,-0.0774,-0.2669,-0.1794,-0.1273,-0.0584,-0.1393,-0.0890,-0.0192,-0.1267
N22 Total Sky Cover,∆deca,-,1.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,-2.0000,-2.0000,-1.0000,0.0000,0.0000,1.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.0000,0.0000,0.0000,-0.9987,-0.9958,-1.9933,-1.9731,-0.9819,0.0000,0.0000,0.9973
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,408.5014,-17.6054,-144.3570,16.9242,-403.7140,-377.6444,-746.0628,-739.1068,-786.7478,242.9823,158.8283,441.3494
