# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,-0.98,-1.05,-0.94,0.09,-0.51,-0.31,-0.11,-0.06,-0.10,-0.32,-0.52,-0.82
Ground Temperatures,∆°C,depth 2.0 m,-0.82,-0.89,-0.88,-0.25,-0.61,-0.46,-0.27,-0.19,-0.19,-0.31,-0.44,-0.67
Ground Temperatures,∆°C,depth 4.0 m,-0.69,-0.74,-0.79,-0.48,-0.64,-0.54,-0.40,-0.32,-0.29,-0.34,-0.42,-0.57
N6 Dry Bulb Temperature,∆°C,-,-0.8282,-1.6251,-1.1869,-0.0565,-0.3843,-0.7740,-0.2707,0.6441,-0.2079,-0.8578,-0.2586,-0.6662
N7 Dew Point Temperature,∆°C,-,-0.3601,-2.2527,-0.5853,0.0782,0.1666,0.8965,1.0879,2.1019,1.2998,-0.2777,0.2865,-0.7315
N8 Relative Humidity,∆%,-,2.9387,-3.3411,2.6491,0.7395,2.1724,7.3628,5.1553,6.8543,6.2399,2.7023,3.5568,-0.1362
N9 Atmospheric Station Pressure,∆Pa,-,-436.9609,-182.7734,91.7734,-95.1250,25.7813,41.5938,46.8359,70.1250,-19.0547,-0.0078,27.7266,-85.0000
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,23.8620,-11.2226,25.0477,24.9474,26.5269,22.0375,16.9674,18.2904,11.5284,11.4605,12.4106,10.5429
N13 Global Horizontal Radiation,∆Wh/m²,-,0.0667,13.8648,-2.7706,-17.5665,-25.4649,-23.2433,-28.1768,-15.7185,-15.3517,3.0955,8.2500,2.7087
N14 Direct Normal Radiation,∆Wh/m²,-,-0.0885,49.1270,5.9043,-29.5106,-45.3863,-49.2410,-96.0519,-60.9105,-80.8639,-6.1254,21.0028,6.3637
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,0.0146,-4.7163,-5.0333,-0.4195,5.0790,9.4271,29.7411,19.0834,22.7443,3.7327,1.4766,0.9566
N16 Global Horizontal Illuminance,∆lux,-,24.3115,1600.9693,-204.2310,-1602.2571,-2370.3701,-2106.5337,-2278.3648,-1068.1015,-1251.6377,412.0176,861.8538,304.4643
N17 Direct Normal Illuminance,∆lux,-,-138.3029,4542.6369,187.3691,-3341.5098,-4997.0933,-5383.4823,-10208.2735,-6883.0305,-8478.6982,-796.4675,1674.5934,425.4861
N18 Diffuse Horizontal Illuminance,∆lux,-,70.6097,-385.9633,-114.1105,518.2208,1050.8755,1516.9997,4050.4325,3016.8891,3100.0761,670.0145,301.9600,164.5024
N19 Zenith Luminance,∆Cd/m²,-,-31.2727,-130.9859,-175.6596,-20.1158,228.3077,361.0844,1070.2720,581.4116,541.0704,71.5006,-30.8064,-0.4588
N21 Wind Speed,∆m/s,-,0.0892,-0.1629,0.0959,0.1814,0.0865,-0.0494,-0.2171,0.0614,0.0645,0.1038,-0.0497,0.0603
N22 Total Sky Cover,∆deca,-,0.0000,-2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,-1.0000,-1.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,-1.9048,0.9919,0.9806,1.0000,0.9986,1.0000,0.0000,0.9917,0.0000,-0.9236,-0.9933
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,150.8633,-284.5482,152.7583,243.4377,150.6939,504.9214,433.7599,666.1649,587.2077,79.7953,33.2864,-7.6090
