# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,5.17,5.15,5.17,6.00,5.13,5.06,5.08,5.07,5.12,5.11,5.18,5.15
Ground Temperatures,∆°C,depth 2.0 m,5.16,5.17,5.16,5.67,5.13,5.08,5.10,5.08,5.10,5.10,5.16,5.14
Ground Temperatures,∆°C,depth 4.0 m,5.14,5.17,5.15,5.41,5.14,5.09,5.11,5.10,5.10,5.10,5.14,5.13
N6 Dry Bulb Temperature,∆°C,-,6.7098,5.3625,3.9297,3.8794,3.7331,4.4547,5.2708,6.7760,5.7626,5.4389,3.9450,6.2498
N7 Dew Point Temperature,∆°C,-,2.8408,3.4459,2.5777,2.8915,3.2330,3.5734,1.0590,1.4844,2.1499,2.4027,2.1586,2.2700
N8 Relative Humidity,∆%,-,-8.1664,-2.9896,-4.0469,-1.5174,1.2018,-1.5671,-13.4097,-18.0012,-12.0080,-3.9210,-2.5922,-9.6919
N9 Atmospheric Station Pressure,∆Pa,-,-208.0625,-121.5469,-198.3125,-93.1250,-130.1250,-13.8750,-60.9922,-1.4141,22.1719,97.3984,32.2891,-466.5000
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,70.6482,55.2712,51.9500,38.5353,41.7841,36.0685,28.5468,33.0175,25.2058,47.4581,43.1501,63.5778
N13 Global Horizontal Radiation,∆Wh/m²,-,-12.4349,-11.5309,-16.3242,-13.9330,5.2032,20.5231,41.6078,33.4699,21.9767,7.7488,-7.2049,-8.7203
N14 Direct Normal Radiation,∆Wh/m²,-,-21.7773,-55.2458,-30.3856,-20.3577,23.7509,38.0201,85.6596,74.4978,48.2824,8.2650,-19.7765,-28.1746
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-6.5878,8.0547,-0.7712,-2.1035,-7.7223,-5.2473,-16.8909,-12.6713,-5.9160,2.2674,-1.4909,-1.1480
N16 Global Horizontal Illuminance,∆lux,-,-1251.8111,-1052.6741,-1571.3470,-1200.0098,840.3633,2539.6379,5268.9595,4260.1105,2812.9884,936.4693,-705.4105,-836.2992
N17 Direct Normal Illuminance,∆lux,-,-1873.6119,-5317.6652,-3289.0748,-2616.9504,1788.5406,3526.0944,9080.2426,7636.1785,5017.6410,505.6597,-1769.9086,-2431.0474
N18 Diffuse Horizontal Illuminance,∆lux,-,-731.3963,984.0905,247.8672,480.9277,-174.8297,-33.5916,-1581.8173,-886.6909,-302.5310,581.3130,-170.4233,-179.9333
N19 Zenith Luminance,∆Cd/m²,-,-64.8510,184.7503,-26.4884,-97.5387,-357.9598,-367.3086,-652.2453,-455.8229,-203.4773,25.6825,-7.5714,2.4041
N21 Wind Speed,∆m/s,-,-0.2668,-0.1243,-0.0626,-0.1147,-0.1730,-0.1063,0.0456,0.0330,-0.1524,-0.2302,0.1295,0.0892
N22 Total Sky Cover,∆deca,-,1.0000,1.0000,1.0000,0.0000,0.0000,-1.0000,-1.0000,-2.0000,-1.0000,0.0000,0.0000,1.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.9643,0.9919,0.0000,0.0000,-0.9958,-1.0000,-1.9731,-0.9819,0.0000,0.0000,0.9973
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,164.6493,249.9894,176.5671,90.2029,-181.8524,-307.0848,-790.2989,-809.8557,-694.4459,-375.7329,363.6702,445.5746
