# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,4.00,3.96,4.02,4.93,4.17,4.21,4.30,4.32,4.33,4.23,4.20,4.06
Ground Temperatures,∆°C,depth 2.0 m,4.06,4.04,4.04,4.60,4.13,4.16,4.25,4.27,4.28,4.23,4.21,4.11
Ground Temperatures,∆°C,depth 4.0 m,4.11,4.10,4.07,4.35,4.12,4.13,4.20,4.22,4.24,4.22,4.21,4.14
N6 Dry Bulb Temperature,∆°C,-,5.0353,4.5223,3.0114,3.0180,2.6153,4.1055,5.2175,5.7905,5.0100,3.1852,3.5347,4.8037
N7 Dew Point Temperature,∆°C,-,2.5259,3.0022,2.3070,2.4539,2.6570,3.7432,3.1959,3.1029,3.5596,1.9802,2.0288,2.0579
N8 Relative Humidity,∆%,-,-6.3435,-3.4185,-1.7181,-0.5246,1.8085,0.8955,-5.7679,-8.0941,-3.1991,0.2988,-2.4398,-8.1175
N9 Atmospheric Station Pressure,∆Pa,-,-357.4453,-72.6641,86.8828,62.7188,39.0625,85.1953,57.3516,13.7344,30.0156,-13.3750,83.3828,153.1406
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,53.2989,41.5967,47.0756,33.6333,35.2661,34.5019,32.9862,39.8538,34.2286,34.6246,32.8295,47.4291
N13 Global Horizontal Radiation,∆Wh/m²,-,-8.2672,-9.1267,-17.7268,-13.5566,-9.3463,26.6407,28.5821,19.8242,4.3434,-5.5381,-2.7165,-4.2051
N14 Direct Normal Radiation,∆Wh/m²,-,-17.0956,-46.0808,-33.7555,-19.3966,-9.8463,50.3864,53.9245,38.1193,-11.7385,-30.9551,-11.1270,-18.0847
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-3.6950,7.0398,-0.4982,-2.2841,-1.3085,-7.2626,-9.9730,-4.8982,6.7787,5.8112,0.2887,0.6267
N16 Global Horizontal Illuminance,∆lux,-,-816.2039,-840.0639,-1707.6522,-1168.1118,-653.7035,3253.0100,3856.5340,2800.1149,926.7343,-455.0674,-252.9255,-391.9193
N17 Direct Normal Illuminance,∆lux,-,-1492.3123,-4455.6013,-3577.5789,-2496.5697,-1631.7689,4813.8082,5836.5541,3815.0702,-1512.5559,-3204.9637,-1077.4438,-1658.5994
N18 Diffuse Horizontal Illuminance,∆lux,-,-399.0298,911.8672,240.6753,444.9551,541.0590,-280.2931,-647.0541,136.8479,1422.0268,869.3416,65.4401,58.3801
N19 Zenith Luminance,∆Cd/m²,-,-37.3194,152.6841,-4.8629,-104.5404,-60.3490,-442.5114,-458.6945,-253.7199,109.8620,145.3122,-0.3981,23.2296
N21 Wind Speed,∆m/s,-,-0.1390,-0.2061,-0.0250,-0.0797,-0.0669,-0.1028,-0.0670,-0.1232,-0.1892,0.0159,0.0185,-0.1969
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,1.0000,0.0000,0.0000,-1.0000,-1.0000,-1.0000,0.0000,0.0000,-1.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.9919,0.0000,0.0000,-0.9958,-1.0000,-0.9906,0.0000,0.0000,-0.9236,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,105.3207,112.9375,232.7669,78.9752,-22.3835,-296.6067,-549.1387,-561.2319,-141.4669,175.6768,167.3189,216.9147
