# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.62,2.64,2.60,3.27,2.18,1.91,1.79,1.75,1.86,2.01,2.29,2.47
Ground Temperatures,∆°C,depth 2.0 m,2.47,2.56,2.53,2.95,2.27,2.06,1.94,1.86,1.89,1.99,2.19,2.32
Ground Temperatures,∆°C,depth 4.0 m,2.35,2.44,2.44,2.66,2.31,2.16,2.07,1.99,1.98,2.02,2.14,2.23
N6 Dry Bulb Temperature,∆°C,-,3.2699,2.5050,1.8253,1.9862,1.4015,1.5499,1.6882,2.6262,2.4411,1.8202,2.0564,3.3109
N7 Dew Point Temperature,∆°C,-,1.8683,1.7210,1.4876,1.5607,1.3136,1.9321,0.6651,1.8288,1.3730,0.8485,1.4964,1.6385
N8 Relative Humidity,∆%,-,-4.5722,-2.8963,-0.9853,-1.2151,-0.0926,2.0178,-3.3461,-2.5136,-3.8050,-3.8475,-0.7177,-5.8400
N9 Atmospheric Station Pressure,∆Pa,-,-307.4609,-114.6406,-23.5703,13.3203,10.7578,20.7969,36.0234,22.7188,37.0859,23.7109,150.4922,-24.4375
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,44.0138,30.4508,31.9588,27.4422,27.8896,26.8046,18.0774,20.4121,7.5019,25.8244,32.9339,39.5786
N13 Global Horizontal Radiation,∆Wh/m²,-,-7.4644,-2.4496,-8.1373,-9.8653,-6.6493,10.4826,10.4018,13.2521,5.2831,3.1230,0.4426,-2.7212
N14 Direct Normal Radiation,∆Wh/m²,-,-15.9335,-19.1405,-9.1275,-9.8603,-3.6840,17.6024,7.2915,20.0797,-8.4519,-6.0421,-3.2722,-13.6223
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-3.2089,3.7382,-3.0729,-4.1069,-2.4784,-1.7836,1.4442,-0.7633,6.0421,3.7245,1.0137,0.9021
N16 Global Horizontal Illuminance,∆lux,-,-733.9378,-156.2893,-746.7214,-796.6896,-409.0397,1409.8797,1680.8247,1978.5188,938.0821,426.0580,65.2046,-240.9909
N17 Direct Normal Illuminance,∆lux,-,-1396.6394,-1936.9978,-1292.1434,-1528.1859,-947.8675,1390.3316,754.5655,1824.3872,-1081.8159,-823.1268,-435.4633,-1294.5190
N18 Diffuse Horizontal Illuminance,∆lux,-,-343.6975,616.2271,84.4400,255.9693,357.2302,321.5876,734.9903,620.4008,1256.4750,686.9344,185.8084,105.9560
N19 Zenith Luminance,∆Cd/m²,-,-33.0313,55.6890,-116.2088,-164.4108,-117.4346,-217.2479,-81.3876,-128.5588,91.4302,71.3969,0.8296,19.2091
N21 Wind Speed,∆m/s,-,-0.1388,-0.1251,-0.1189,0.0216,-0.0718,-0.0179,0.0541,-0.0591,-0.0831,-0.0754,-0.0668,-0.0674
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9906,-0.9819,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,119.5442,-54.9733,15.1661,106.5904,-94.9788,-40.1889,-303.7387,-225.6828,-323.0641,-108.6751,86.6262,144.7286
