# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.63,2.62,2.63,3.41,2.47,2.34,2.32,2.30,2.37,2.41,2.55,2.58
Ground Temperatures,∆°C,depth 2.0 m,2.58,2.62,2.60,3.09,2.50,2.40,2.38,2.35,2.37,2.39,2.50,2.52
Ground Temperatures,∆°C,depth 4.0 m,2.53,2.58,2.57,2.81,2.52,2.44,2.42,2.39,2.39,2.41,2.47,2.49
N6 Dry Bulb Temperature,∆°C,-,3.6655,3.4927,1.7277,1.6978,1.6215,2.6305,2.3267,3.5870,2.6203,1.9105,1.6195,2.8435
N7 Dew Point Temperature,∆°C,-,2.0791,2.5118,1.2179,1.2151,1.8020,2.5321,1.6126,1.8867,2.2867,1.3716,1.3034,1.5295
N8 Relative Humidity,∆%,-,-4.5915,-2.4078,-1.9735,-1.6408,1.3839,0.4158,-2.4361,-6.0060,-0.6234,0.2753,-0.1115,-4.3033
N9 Atmospheric Station Pressure,∆Pa,-,-288.6094,-42.4688,127.1250,90.3828,-44.4219,36.0078,40.3203,0.6641,26.0781,24.7813,208.2422,138.2188
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,54.7912,36.0044,31.3164,25.6658,29.3902,25.0737,22.9627,25.4685,18.9449,27.0567,30.5650,37.2495
N13 Global Horizontal Radiation,∆Wh/m²,-,-7.3456,-6.7626,-8.6308,-5.8054,-14.6982,20.9543,6.3124,17.7525,1.3630,-1.3604,0.5717,-3.0323
N14 Direct Normal Radiation,∆Wh/m²,-,-15.7536,-36.7508,-10.4741,0.8290,-21.9284,38.8941,-3.5202,32.4650,-22.2022,-19.3308,-2.9224,-14.6019
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-3.1391,5.9357,-2.9064,-6.1987,0.9513,-5.3920,4.2684,-3.6201,9.1469,4.9494,1.0350,0.8561
N16 Global Horizontal Illuminance,∆lux,-,-722.1474,-610.5052,-801.1550,-375.2040,-1239.4978,2534.0863,1340.5399,2484.2547,539.5472,-34.6859,77.8759,-273.4760
N17 Direct Normal Illuminance,∆lux,-,-1383.5026,-3603.0254,-1406.3651,-468.5614,-2797.6443,3624.1688,-455.8170,3170.6979,-2581.7588,-2102.0366,-403.8613,-1370.4860
N18 Diffuse Horizontal Illuminance,∆lux,-,-334.6005,822.2615,88.5079,46.5419,744.6994,-87.1981,1107.7435,262.5794,1673.8448,801.3344,188.3112,96.5890
N19 Zenith Luminance,∆Cd/m²,-,-34.0675,117.2706,-111.0940,-250.0454,38.9252,-375.7640,42.6608,-213.8508,174.3080,108.8224,1.2535,18.0479
N21 Wind Speed,∆m/s,-,-0.0745,-0.1099,-0.1645,0.0359,-0.1071,-0.0283,-0.0436,-0.0025,-0.0744,0.0027,-0.1019,-0.0106
N22 Total Sky Cover,∆deca,-,1.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.0000,0.0000,0.0000,0.0000,-0.9958,0.0000,-0.9906,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,84.7842,90.2807,0.8674,126.9610,90.8468,-181.0682,-259.8685,-385.9251,-70.8919,31.1353,-28.1309,226.4014
