# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.96,2.95,2.95,3.75,2.82,2.71,2.69,2.68,2.74,2.77,2.89,2.91
Ground Temperatures,∆°C,depth 2.0 m,2.91,2.95,2.93,3.42,2.85,2.75,2.74,2.71,2.73,2.76,2.85,2.86
Ground Temperatures,∆°C,depth 4.0 m,2.87,2.92,2.90,3.15,2.86,2.79,2.78,2.75,2.75,2.77,2.82,2.84
N6 Dry Bulb Temperature,∆°C,-,4.4599,2.9002,1.9314,2.4640,1.4817,1.8309,3.0170,4.1018,2.7816,1.9948,2.6895,4.2709
N7 Dew Point Temperature,∆°C,-,2.3489,2.2383,1.4798,2.1041,1.8819,2.7146,2.0217,1.9237,2.3984,1.4391,1.7618,2.0549
N8 Relative Humidity,∆%,-,-5.8797,-1.5925,-1.6527,-0.2770,2.4058,4.6978,-3.0193,-7.7990,-0.8701,0.1882,-1.5458,-5.3395
N9 Atmospheric Station Pressure,∆Pa,-,-418.1563,22.1094,-19.2969,-6.6641,-8.5078,82.5547,7.9531,1.3281,46.5469,30.3672,45.4609,-122.1563
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,58.8994,32.8133,41.2561,30.4330,28.7303,28.9467,19.1136,28.2122,19.9997,27.5559,36.2711,44.7833
N13 Global Horizontal Radiation,∆Wh/m²,-,-9.2224,-8.9445,-14.2429,-13.9523,-9.4245,2.0862,20.4018,21.4945,1.6481,-1.2594,-3.1176,-7.1945
N14 Direct Normal Radiation,∆Wh/m²,-,-18.3613,-45.3722,-25.2239,-20.4070,-10.0243,0.5188,33.2587,42.6549,-21.1990,-19.0399,-12.0227,-25.3565
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-4.3053,6.9581,-1.2499,-2.0942,-1.2748,1.1965,-5.0809,-5.9107,8.9185,4.9248,0.1668,-0.3883
N16 Global Horizontal Illuminance,∆lux,-,-914.9108,-826.2143,-1356.4686,-1217.0838,-686.5045,585.6070,2822.9189,2894.9767,578.9550,-31.0039,-292.6538,-681.8901
N17 Direct Normal Illuminance,∆lux,-,-1592.6060,-4363.2419,-2779.1065,-2573.7997,-1608.6425,-409.5790,3576.1403,4279.5618,-2483.9197,-2074.4636,-1141.3575,-2213.7946
N18 Diffuse Horizontal Illuminance,∆lux,-,-471.5907,890.5102,196.6213,446.9846,511.4648,698.8607,-45.8994,-28.8855,1648.8366,803.0963,41.1856,-88.6719
N19 Zenith Luminance,∆Cd/m²,-,-41.0720,149.4336,-45.8816,-97.1895,-59.3615,-56.4045,-314.8281,-287.2097,169.3060,106.2763,-0.0175,17.5176
N21 Wind Speed,∆m/s,-,-0.1428,-0.2095,-0.0435,-0.0067,-0.0287,-0.0479,-0.0024,-0.0180,-0.1071,-0.0476,0.0664,-0.1495
N22 Total Sky Cover,∆deca,-,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.9933,0.0000,0.9919,0.0000,0.0000,0.0000,-1.0000,-0.9906,0.0000,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,139.6866,150.6537,125.5392,151.1295,88.1428,-38.1821,-506.2942,-504.8449,-186.5309,-52.5337,141.6968,270.6427
