# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,4.53,4.45,4.57,5.63,5.06,5.29,5.51,5.57,5.51,5.27,5.04,4.72
Ground Temperatures,∆°C,depth 2.0 m,4.71,4.63,4.64,5.28,4.95,5.12,5.33,5.42,5.42,5.29,5.13,4.88
Ground Temperatures,∆°C,depth 4.0 m,4.86,4.80,4.75,5.06,4.91,5.02,5.18,5.27,5.30,5.25,5.16,4.99
N6 Dry Bulb Temperature,∆°C,-,6.0885,5.2011,3.1811,3.5338,3.0130,4.5381,5.5318,7.6920,7.0405,4.1219,3.9140,6.4594
N7 Dew Point Temperature,∆°C,-,2.7584,3.4263,2.4514,2.8851,3.0007,4.0228,3.9008,4.0076,3.8574,2.3658,2.1762,2.2955
N8 Relative Humidity,∆%,-,-7.2751,-2.5418,-1.4903,0.0253,2.1906,1.0690,-4.2215,-10.1677,-8.7571,1.2841,-2.0543,-9.5279
N9 Atmospheric Station Pressure,∆Pa,-,-130.7500,113.3750,147.8203,163.9766,-2.1250,106.7734,72.0156,27.7422,50.2344,6.9297,152.8984,-32.4063
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,58.7933,45.5860,48.0119,36.8152,37.6711,44.8170,36.3778,52.7100,37.4068,40.4273,43.0443,56.3096
N13 Global Horizontal Radiation,∆Wh/m²,-,-9.5763,-11.7516,-15.1259,-13.7275,-11.0977,12.0842,20.2878,21.8609,8.9311,-1.3434,-2.1208,-8.2778
N14 Direct Normal Radiation,∆Wh/m²,-,-18.7992,-56.0685,-27.4366,-19.8332,-13.8236,20.8647,32.9670,43.6470,4.2341,-19.2820,-9.7536,-27.4168
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-4.5399,8.1414,-1.0366,-2.2019,-0.5586,-2.3463,-5.0098,-6.1306,3.2369,4.9453,0.4568,-0.9115
N16 Global Horizontal Illuminance,∆lux,-,-951.5024,-1077.7363,-1440.6501,-1178.3573,-829.4645,1661.4735,2958.4293,3117.8785,1444.3366,-16.4151,-194.6814,-790.8922
N17 Direct Normal Illuminance,∆lux,-,-1630.9940,-5387.1972,-3015.5791,-2565.9505,-2056.3155,1695.5113,3591.1669,4428.3246,235.2658,-2167.5666,-974.3711,-2374.0941
N18 Diffuse Horizontal Illuminance,∆lux,-,-497.0589,990.9870,229.3218,471.4082,633.0089,329.9006,18.9792,19.7023,966.5253,840.2488,98.4065,-151.2366
N19 Zenith Luminance,∆Cd/m²,-,-41.8803,186.8787,-35.9978,-102.1622,-24.7828,-240.4208,-312.1565,-292.5624,11.3916,108.6584,-2.3556,7.4027
N21 Wind Speed,∆m/s,-,-0.1670,-0.2089,-0.1901,-0.0043,-0.0939,-0.0890,-0.0580,-0.1450,-0.1884,-0.0700,-0.1163,-0.1228
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.9919,0.0000,0.0000,0.0000,-1.0000,-0.9906,-0.9819,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,285.5614,170.8933,140.4623,140.9147,15.4244,-223.3500,-554.9209,-608.0119,-397.0411,102.9828,68.3516,431.9380
