# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,-1.81,-1.97,-1.71,-0.31,-0.44,0.21,0.73,0.88,0.68,0.09,-0.58,-1.33
Ground Temperatures,∆°C,depth 2.0 m,-1.35,-1.56,-1.52,-0.70,-0.73,-0.22,0.27,0.50,0.47,0.14,-0.31,-0.90
Ground Temperatures,∆°C,depth 4.0 m,-0.96,-1.16,-1.24,-0.85,-0.82,-0.49,-0.12,0.12,0.18,0.05,-0.22,-0.61
N6 Dry Bulb Temperature,∆°C,-,-1.6134,-2.2374,-0.7747,0.4628,-0.5086,0.2958,-0.0233,1.7343,0.1500,-0.2663,-1.0260,-2.5524
N7 Dew Point Temperature,∆°C,-,-1.0794,-1.7431,-1.0990,0.0172,-0.0016,2.2036,1.1999,1.3785,1.3568,0.4975,-0.7389,-0.9742
N8 Relative Humidity,∆%,-,3.6315,2.4282,-1.9836,-2.1244,2.0835,8.9365,4.6347,-1.0675,5.0064,4.6473,1.9167,10.7762
N9 Atmospheric Station Pressure,∆Pa,-,122.9844,-13.6484,95.2656,140.2578,122.1797,94.7891,41.0078,97.9219,-59.2656,185.3828,215.1875,281.5703
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,10.9303,-3.6571,17.8229,18.4693,17.2589,28.2672,18.3810,7.2522,13.3253,15.1270,8.0589,1.9338
N13 Global Horizontal Radiation,∆Wh/m²,-,6.5338,7.6645,-4.0125,-11.1176,-18.2878,-25.7822,-34.3023,13.8368,-24.2350,-3.2884,8.3512,5.1122
N14 Direct Normal Radiation,∆Wh/m²,-,21.0028,23.3432,2.3706,-13.1171,-29.8945,-53.9107,-111.9493,21.6964,-110.6921,-24.8015,21.3498,16.2558
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,0.7878,-1.6509,-4.5596,-3.4788,2.4024,10.0698,34.0532,-1.1404,29.4732,5.3877,1.4748,0.7229
N16 Global Horizontal Illuminance,∆lux,-,673.4088,895.6260,-333.6203,-959.6829,-1648.7257,-2353.3165,-2866.7712,2025.6705,-2180.8805,-247.3800,869.5084,565.9908
N17 Direct Normal Illuminance,∆lux,-,1570.3284,2120.5726,-136.9656,-1776.5368,-3498.6386,-5913.7383,-11787.1693,1998.0061,-11286.5348,-2569.1897,1715.3665,1331.8269
N18 Diffuse Horizontal Illuminance,∆lux,-,222.8852,-6.3489,-77.1376,267.5446,816.5758,1619.5027,4502.3439,556.4620,3707.0403,809.3731,297.1892,145.2329
N19 Zenith Luminance,∆Cd/m²,-,-66.3149,-77.8146,-159.2671,-146.0927,103.5143,403.1832,1249.2945,-136.7505,746.2403,124.7130,-30.4726,-8.6571
N21 Wind Speed,∆m/s,-,0.0513,-0.0639,-0.0748,0.1781,0.0961,0.0032,-0.0361,0.0169,0.0614,0.0413,-0.1814,0.2175
N22 Total Sky Cover,∆deca,-,-1.0000,-1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,-2.0000,1.0000,0.0000,-1.0000,-1.0000
N23 Opaque Sky Cover,∆deca,-,-0.9892,-0.9449,0.0000,0.0000,0.0000,0.9986,1.0000,-1.9731,0.9917,0.0000,-0.9236,-0.9933
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,-82.7987,-132.1595,7.8966,159.2164,126.1676,226.6274,764.6965,-83.5816,492.0491,270.1703,-223.7410,-36.0230
