# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,0.12,-0.10,0.28,1.95,2.18,3.18,3.94,4.16,3.84,2.97,1.94,0.85
Ground Temperatures,∆°C,depth 2.0 m,0.82,0.50,0.55,1.54,1.75,2.54,3.25,3.60,3.55,3.06,2.36,1.50
Ground Temperatures,∆°C,depth 4.0 m,1.40,1.09,0.98,1.43,1.61,2.12,2.67,3.03,3.12,2.91,2.50,1.93
N6 Dry Bulb Temperature,∆°C,-,-0.6234,0.5345,1.1287,1.5174,1.6439,2.4572,2.2336,4.5012,3.3985,2.5467,2.0440,3.2027
N7 Dew Point Temperature,∆°C,-,-0.4548,0.3900,1.3002,1.8834,2.1718,3.5179,4.8192,4.0539,3.6299,1.8888,1.3773,1.7387
N8 Relative Humidity,∆%,-,1.1936,-0.3410,1.1070,2.4827,3.0804,6.4556,13.3801,2.0589,3.6205,2.5263,-1.5499,-4.0939
N9 Atmospheric Station Pressure,∆Pa,-,142.3125,68.1328,276.8750,216.8125,16.5703,167.1641,23.5703,96.7578,25.0156,56.8672,429.0547,-136.9609
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,6.6511,20.1731,37.1105,34.0290,37.9595,33.0496,42.7781,42.6546,34.2570,31.1922,24.5730,39.1543
N13 Global Horizontal Radiation,∆Wh/m²,-,4.4073,7.7150,-17.9985,-35.8391,-13.3563,3.1859,-50.1247,0.4871,-16.9215,-4.1564,8.5298,-3.4921
N14 Direct Normal Radiation,∆Wh/m²,-,13.3331,23.5550,-34.3975,-70.9409,-18.9200,2.7515,-150.5646,-15.5972,-86.2504,-27.2069,21.9637,-16.0078
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,0.7269,-1.6770,-0.4502,5.6459,0.3942,0.8052,43.7293,7.8247,23.9844,5.5632,1.4712,0.7768
N16 Global Horizontal Illuminance,∆lux,-,461.9746,918.3762,-1742.9762,-3425.6306,-1082.2194,728.2936,-4491.4174,787.5564,-1337.5018,-321.8730,896.1353,-319.8541
N17 Direct Normal Illuminance,∆lux,-,938.4763,2132.3768,-3600.5485,-7256.4575,-2525.8020,-208.4063,-15823.8892,-2273.9318,-9263.2302,-2861.8178,1746.2717,-1486.8597
N18 Diffuse Horizontal Illuminance,∆lux,-,191.9354,4.7389,221.9864,981.1748,699.6860,688.8497,5706.8903,1843.0777,3368.0880,857.8968,308.3683,82.4558
N19 Zenith Luminance,∆Cd/m²,-,-46.1893,-78.2457,-3.7911,259.8683,18.3098,-83.2864,1643.3316,180.8722,577.7675,132.6487,-30.9819,18.8054
N21 Wind Speed,∆m/s,-,-0.0779,0.0665,-0.1841,0.2277,-0.0555,-0.0152,-0.1927,-0.1756,-0.0816,-0.0633,-0.2715,0.0773
N22 Total Sky Cover,∆deca,-,-2.0000,0.0000,1.0000,1.0000,1.0000,0.0000,2.0000,0.0000,1.0000,0.0000,-1.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,-1.9772,0.0000,0.9919,0.9806,1.0000,0.0000,1.6371,0.0000,0.9917,0.0000,-0.9236,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,124.2072,-185.3655,153.9099,610.1595,100.9866,-49.8642,1675.5229,-145.1879,-12.6174,-12.5032,-194.0756,263.6916
