# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,-0.21,-0.29,-0.17,0.89,0.32,0.55,0.77,0.83,0.78,0.53,0.30,-0.02
Ground Temperatures,∆°C,depth 2.0 m,-0.03,-0.11,-0.10,0.54,0.21,0.39,0.60,0.68,0.68,0.55,0.40,0.14
Ground Temperatures,∆°C,depth 4.0 m,0.12,0.06,0.01,0.32,0.18,0.29,0.45,0.54,0.57,0.51,0.42,0.26
N6 Dry Bulb Temperature,∆°C,-,-0.0672,-0.0262,-1.3354,-0.2953,-0.3385,-0.6762,1.2727,1.5406,1.1029,-0.4821,0.2397,2.5154
N7 Dew Point Temperature,∆°C,-,0.1349,-0.0454,-0.5660,0.0339,0.6085,1.3743,2.8084,2.4368,1.3318,-0.0274,0.4166,1.2551
N8 Relative Humidity,∆%,-,1.3482,0.1229,3.6497,1.7183,4.0982,9.4309,6.6783,4.8772,0.5495,2.2044,1.4628,-5.1802
N9 Atmospheric Station Pressure,∆Pa,-,-227.1094,2.8438,198.0156,52.5859,133.9531,212.3984,69.0234,75.7813,144.7734,4.7500,-26.3281,-68.8672
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,27.3916,7.8978,24.3371,14.9302,26.9376,22.7538,27.3154,23.5139,17.8133,13.5132,23.2481,35.3782
N13 Global Horizontal Radiation,∆Wh/m²,-,-0.0004,6.9180,-10.5440,-13.1410,-27.3813,-15.1583,-30.5656,-1.6122,-6.7058,-2.9701,-1.8376,-3.4497
N14 Direct Normal Radiation,∆Wh/m²,-,-0.2712,20.2068,-15.6245,-18.3331,-49.4055,-33.8746,-102.2987,-21.5039,-50.6677,-23.9102,-9.0825,-15.8801
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-0.0029,-1.2629,-2.2895,-2.4847,5.7301,7.0807,31.4492,9.2837,15.7193,5.3198,0.5314,0.7847
N16 Global Horizontal Illuminance,∆lux,-,17.6437,831.9291,-1006.0391,-1171.4286,-2558.1845,-1237.5211,-2459.7695,445.7337,-355.6957,-222.1375,-168.9414,-316.4112
N17 Direct Normal Illuminance,∆lux,-,-156.8035,1821.3802,-1841.7834,-2275.8131,-5402.3488,-3907.5398,-11011.3765,-2793.4786,-5471.5893,-2468.5230,-889.5005,-1470.0920
N18 Diffuse Horizontal Illuminance,∆lux,-,70.6790,45.4948,104.8522,351.0568,1129.5952,1329.0687,4356.4985,1913.9030,2390.2188,798.4083,95.2088,82.0868
N19 Zenith Luminance,∆Cd/m²,-,-31.7471,-70.4046,-86.5245,-112.8922,262.3006,253.8040,1142.7617,231.7148,351.1534,120.5271,-0.3246,18.9321
N21 Wind Speed,∆m/s,-,-0.1004,-0.2235,0.1348,0.1987,-0.1524,-0.0657,-0.1970,-0.1971,-0.0985,-0.0367,-0.0508,-0.1661
N22 Total Sky Cover,∆deca,-,0.0000,-1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,-0.9449,0.9919,0.0000,1.0000,0.9986,1.0000,0.0000,0.9917,0.0000,0.0000,0.0000
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,48.7888,9.1657,147.6080,229.5071,251.9078,90.4559,615.5791,48.9272,-58.7947,39.2542,41.5006,227.1577
