# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,2.67,2.68,2.65,3.35,2.31,2.08,1.98,1.94,2.05,2.16,2.41,2.54
Ground Temperatures,∆°C,depth 2.0 m,2.55,2.62,2.60,3.04,2.38,2.20,2.11,2.04,2.07,2.14,2.32,2.42
Ground Temperatures,∆°C,depth 4.0 m,2.45,2.53,2.52,2.75,2.41,2.28,2.21,2.14,2.14,2.17,2.27,2.35
N6 Dry Bulb Temperature,∆°C,-,3.1312,2.5979,1.7337,1.4691,1.0247,1.5024,2.3194,2.6605,2.8077,1.7227,2.3339,4.6280
N7 Dew Point Temperature,∆°C,-,1.8854,1.8790,1.2693,1.1953,1.2824,1.7385,1.4929,1.7909,2.0713,1.1372,1.6443,2.0603
N8 Relative Humidity,∆%,-,-3.7063,-2.4691,-1.8359,-0.6890,1.3913,1.2524,-2.5480,-2.7513,-2.3541,-0.9056,-0.9039,-7.2981
N9 Atmospheric Station Pressure,∆Pa,-,-457.1953,-194.8359,50.5000,-0.5078,-17.5469,50.2969,35.5313,12.3438,90.7891,58.7188,60.0625,-205.1406
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,43.3145,31.0081,40.1916,24.5426,25.9336,26.4068,22.7115,20.5118,19.2887,25.7588,34.3752,54.9916
N13 Global Horizontal Radiation,∆Wh/m²,-,-7.5535,-2.7235,-6.4730,-7.8415,-13.5718,13.0761,14.0072,9.5760,5.9066,3.5575,-0.0969,-7.1552
N14 Direct Normal Radiation,∆Wh/m²,-,-16.0670,-20.2759,-4.5374,-4.5548,-19.4043,22.8845,16.7360,9.8734,-6.2750,-4.7197,-4.7102,-25.2763
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,-3.2615,3.8825,-3.6540,-5.1402,0.4842,-2.6932,-0.9737,1.6449,5.5564,3.5941,0.9178,-0.3709
N16 Global Horizontal Illuminance,∆lux,-,-743.3603,-176.3955,-573.8646,-584.5773,-1130.6189,1667.7047,2088.3309,1574.0472,1023.3639,468.2218,7.2866,-678.1896
N17 Direct Normal Illuminance,∆lux,-,-1408.0509,-2049.4039,-853.9770,-993.3299,-2526.3612,1953.1512,1784.6762,724.4054,-866.9677,-703.5478,-554.8796,-2205.7714
N18 Diffuse Horizontal Illuminance,∆lux,-,-349.7255,631.6480,33.7716,145.4081,674.0736,208.1757,462.4557,916.3158,1213.8030,679.9130,171.9799,-86.5499
N19 Zenith Luminance,∆Cd/m²,-,-32.6704,59.6435,-129.8523,-209.1710,21.2099,-252.5396,-184.5756,-49.5133,75.8451,67.8732,-0.0881,15.9185
N21 Wind Speed,∆m/s,-,-0.0854,-0.1174,-0.0779,0.0323,0.0390,-0.0662,-0.0919,-0.0288,-0.0949,-0.0193,-0.0514,-0.0221
N22 Total Sky Cover,∆deca,-,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,1.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,0.0000,0.9919,0.0000,0.0000,0.0000,0.0000,-0.9906,0.0000,0.0000,0.0000,0.9973
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,96.4176,-47.7946,-8.1493,28.3286,108.2802,-147.8013,-284.3464,-164.7858,-233.7652,-112.9800,96.5917,349.7340
