# Monthly average difference between variables of two EPW files (last EPW variables minus the first EPW variables).
Variable,Unit,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ground Temperatures,∆°C,depth 0.5 m,-0.87,-0.95,-0.82,0.26,-0.29,-0.05,0.19,0.25,0.19,-0.07,-0.32,-0.66
Ground Temperatures,∆°C,depth 2.0 m,-0.67,-0.75,-0.74,-0.10,-0.41,-0.22,0.00,0.10,0.09,-0.05,-0.22,-0.49
Ground Temperatures,∆°C,depth 4.0 m,-0.51,-0.58,-0.63,-0.31,-0.45,-0.33,-0.16,-0.06,-0.03,-0.09,-0.19,-0.36
N6 Dry Bulb Temperature,∆°C,-,1.0627,-1.2231,-0.4773,-0.6105,-0.6989,-0.3855,0.2907,0.8289,0.0837,-1.2550,0.0344,-1.6176
N7 Dew Point Temperature,∆°C,-,0.1658,-1.2940,-0.1502,-0.7069,-0.3256,1.4919,2.0618,2.7314,1.3453,-0.4221,0.1437,-0.5732
N8 Relative Humidity,∆%,-,-4.7143,-0.3683,1.5656,-0.4763,1.5155,8.5686,7.5228,9.9646,5.1908,4.5307,0.9070,7.2539
N9 Atmospheric Station Pressure,∆Pa,-,-128.3594,156.8594,278.1797,-82.6875,80.1094,-27.1328,44.0234,46.8750,73.9219,108.4922,-22.0781,-57.2578
N10 Extraterrestrial Horizontal Radiation,∆Wh/m²,-,-1.1046,-2.3043,-3.8038,-2.9837,-2.1129,-0.9632,0.1378,2.0208,0.9690,2.7701,-0.2378,-0.9676
N11 Extraterrestrial Direct Normal Radiation,∆Wh/m²,-,-8.4735,-8.9614,-9.0943,-8.3577,-8.4978,-8.0275,-6.3204,-3.6603,-4.5383,-2.8428,-6.8742,-8.6909
N12 Horizontal Infrared Radiation Intensity,∆Wh/m²,-,32.8738,1.2564,19.7762,21.7072,16.0965,24.3366,21.1514,20.3668,4.8676,1.2686,13.6574,6.4143
N13 Global Horizontal Radiation,∆Wh/m²,-,1.5642,14.2777,-8.3324,-20.4671,-12.3230,-24.2578,-16.8637,-10.5953,-10.4813,2.9970,2.8162,4.1561
N14 Direct Normal Radiation,∆Wh/m²,-,4.1910,50.8222,-9.6606,-36.6376,-16.5932,-51.1168,-65.8945,-46.7074,-63.9377,-6.4244,3.4798,12.2838
N15 Diffuse Horizontal Radiation,∆Wh/m²,-,0.3532,-4.9089,-3.0068,0.8358,-0.0395,9.6901,21.3593,15.5572,18.8132,3.7620,1.3173,0.8238
N16 Global Horizontal Illuminance,∆lux,-,179.1828,1656.8834,-779.8892,-1882.8818,-1034.1664,-2203.1135,-1056.0100,-492.8330,-726.6426,398.9744,302.4899,459.7078
N17 Direct Normal Illuminance,∆lux,-,188.5098,4699.9534,-1293.6598,-3975.3753,-2183.5095,-5600.7131,-7216.4088,-5497.6773,-6826.3699,-820.7128,141.9782,959.4151
N18 Diffuse Horizontal Illuminance,∆lux,-,122.6213,-404.1172,61.0379,596.6516,564.7322,1563.0596,3249.8234,2694.8542,2710.7821,671.5880,240.6484,157.7101
N19 Zenith Luminance,∆Cd/m²,-,-29.3750,-136.6622,-114.4893,28.6066,-1.6060,378.7454,749.0196,457.5096,436.1894,71.8892,-3.3852,-5.1367
N21 Wind Speed,∆m/s,-,-0.0641,0.0327,0.2629,0.0437,0.1139,-0.0976,-0.1069,-0.0709,-0.0624,-0.1071,-0.1116,0.2189
N22 Total Sky Cover,∆deca,-,0.0000,-1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,-1.0000,-1.0000,-1.0000
N23 Opaque Sky Cover,∆deca,-,0.0000,-0.9449,0.0000,0.9806,0.0000,0.9986,1.0000,0.0000,0.0000,-0.9772,-0.9236,-0.9933
N30 Snow Depth,∆cm,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
N33 Liquid Precipitation Depth,∆mm,-,-110.2741,-212.0771,250.2544,261.6802,114.3184,204.4228,466.9446,406.5070,-4.9323,-114.0271,10.3259,137.8574
